,TARGET(PRICE_IN_LACS)
176,40.0
177,40.0
178,21.0
179,24.0
180,90.0
181,38.0
182,280.0
183,59.6
184,120.0
185,120.0
186,31.0
187,72.0
188,79.5
189,89.0
190,410.0
191,68.6
192,33.0
193,50.0
194,16.0
195,98.0
196,70.0
197,76.5
198,26.0
199,110.0
200,77.0
201,140.0
202,70.0
203,61.0
204,17.3
205,42.0
206,25.0
207,150.0
208,88.9
209,110.0
210,41.0
211,24.0
212,48.2
213,33.0
214,250.0
215,160.0
216,140.0
217,36.0
218,79.0
219,160.0
220,69.0
221,30.1
222,190.0
223,81.0
224,70.0
225,30.0
226,25.0
227,400.0
228,79.0
229,160.0
230,11.5
231,50.0
232,230.0
233,21.5
234,110.0
235,56.0
236,45.0
237,110.0
238,88.6
239,100.0
240,300.0
241,62.0
242,45.9
243,37.0
244,90.0
245,45.9
246,130.0
247,420.0
248,58.5
249,17.0
250,220.0
251,48.0
252,48.0
253,64.1
254,52.0
255,600.0
256,470.0
257,46.0
258,65.0
259,50.0
260,77.5
261,26.2
262,120.0
263,100.0
264,170.0
265,23.0
266,50.2
267,14.0
268,85.0
269,30.0
270,100.0
271,25.0
272,44.9
273,26.0
274,95.0
275,110.0
276,25.0
277,65.0
278,25.0
279,36.5
280,180.0
281,180.0
282,30.0
283,160.0
284,50.0
285,82.2
286,90.0
287,100.0
288,27.0
289,62.9
290,33.0
291,94.0
292,27.7
293,37.5
294,9480.0
295,390.0
296,65.5
297,85.0
298,23.0
299,99.0
300,45.0
301,100.0
302,460.0
303,150.0
304,40.0
305,52.0
306,340.0
307,27.0
308,230.0
309,82.0
310,110.0
311,40.0
312,160.0
313,20.0
314,85.0
315,22.4
316,120.0
317,35.0
318,54.0
319,56.0
320,90.0
321,23.0
322,49.0
323,70.0
324,41.0
325,8.5
326,53.0
327,38.0
328,43.0
329,32.4
330,170.0
331,12.0
332,110.0
333,91.0
334,22.0
335,82.0
336,390.0
337,35.0
338,34.0
339,91.5
340,120.0
341,28.9
342,31.0
343,75.0
344,78.6
345,160.0
346,22.0
347,1200.0
348,370.0
349,31.2
350,45.0
351,100.0
352,110.0
353,67.9
354,26.0
355,110.0
356,24.0
357,100.0
358,110.0
359,70.0
360,470.0
361,1200.0
362,250.0
363,94.0
364,53.7
365,140.0
366,40.6
367,260.0
368,25.2
369,90.0
370,74.0
371,210.0
372,150.0
373,65.0
374,38.0
375,27.2
376,85.0
377,60.0
378,60.0
379,110.0
380,66.0
381,25.5
382,30.0
383,60.0
384,46.8
385,36.1
386,32.5
387,96.0
388,82.0
389,29.0
390,46.6
391,45.0
392,54.0
393,43.0
394,48.0
395,27.0
396,24.0
397,18.7
398,96.0
399,210.0
400,190.0
401,110.0
402,240.0
403,95.0
404,35.0
405,58.0
406,350.0
407,190.0
408,35.0
409,53.0
410,51.0
411,360.0
412,78.5
413,45.0
414,76.5
415,320.0
416,84.0
417,160.0
418,49.0
419,63.0
420,100.0
421,52.0
422,55.0
423,67.0
424,200.0
425,130.0
426,30.0
427,45.0
428,66.4
429,38.0
430,150.0
431,31.2
432,85.0
433,27.0
434,50.0
435,110.0
436,65.0
437,40.0
438,26.3
439,100.0
440,150.0
441,170.0
442,170.0
443,750.0
444,36.0
445,280.0
446,12.5
447,160.0
448,230.0
449,97.0
450,20.5
451,31.8
452,130.0
453,63.0
454,48.9
455,50.0
456,480.0
457,13.5
458,160.0
459,65.0
460,190.0
461,100.0
462,110.0
463,250.0
464,85.0
465,70.0
466,70.0
467,250.0
468,300.0
469,16.0
470,100.0
471,120.0
472,25.3
473,29.0
474,44.5
475,400.0
476,310.0
477,99.0
478,57.0
479,110.0
480,120.0
481,37.0
482,47.0
483,19.1
484,64.4
485,37.0
486,23.0
487,79.0
488,66.3
489,24.0
490,55.0
491,23.0
492,470.0
493,22.4
494,31.0
495,45.0
496,120.0
497,45.0
498,78.0
499,55.0
500,36.9
501,65.0
502,86.0
503,110.0
504,34.0
505,92.0
506,65.0
507,87.9
508,61.0
509,120.0
510,670.0
511,160.0
512,55.0
513,88.0
514,48.0
515,62.0
516,40.0
517,35.0
518,130.0
519,30.0
520,180.0
521,17.0
522,78.1
523,47.0
524,78.0
525,49.0
526,87.0
527,140.0
528,190.0
529,94.0
530,17.0
531,130.0
532,140.0
533,87.1
534,43.5
535,13.0
536,90.0
537,120.0
538,52.0
539,35.0
540,32.0
541,23.0
542,45.7
543,70.0
544,500.0
545,69.5
546,13.5
547,81.0
548,22.0
549,45.0
550,55.5
551,35.0
552,240.0
553,160.0
554,7280.0
555,220.0
556,51.0
557,26.3
558,40.0
559,92.5
560,110.0
561,190.0
562,220.0
563,95.0
564,75.0
565,97.6
566,78.0
567,630.0
568,76.0
569,76.0
570,690.0
571,9.0
572,85.0
573,49.6
574,75.0
575,46.0
576,53.5
577,66.0
578,160.0
579,29.5
580,28.0
581,570.0
582,35.0
583,34.0
584,13.0
585,32.0
586,130.0
587,100.0
588,290.0
589,34.0
590,26.0
591,35.0
592,43.0
593,72.0
594,110.0
595,62.0
596,22.5
597,85.0
598,51.8
599,370.0
600,48.4
601,110.0
602,23.5
603,45.0
604,15.3
605,60.0
606,45.0
607,24.5
608,64.0
609,56.0
610,85.0
611,130.0
612,38.0
613,20.0
614,200.0
615,58.1
616,25.0
617,63.8
618,1190.0
619,42.0
620,43.0
621,60.0
622,18.5
623,48.0
624,130.0
625,69.9
626,110.0
627,9.0
628,350.0
629,52.8
630,27.0
631,41.0
632,38.5
633,50.0
634,56.0
635,23.5
636,110.0
637,24.2
638,42.0
639,100.0
640,210.0
641,98.5
642,10.2
643,36.0
644,75.0
645,140.0
646,4500.0
647,150.0
648,22.0
649,180.0
650,83.0
651,60.0
652,57.9
653,24.8
654,30.7
655,45.5
656,270.0
657,18.0
658,300.0
659,33.7
660,95.0
661,550.0
662,230.0
663,70.0
664,68.4
665,70.0
666,100.0
667,150.0
668,230.0
669,670.0
670,94.0
671,50.0
672,68.0
673,380.0
674,30.0
675,35.0
676,59.5
677,51.0
678,35.0
679,120.0
680,100.0
681,270.0
682,180.0
683,140.0
684,41.0
685,330.0
686,33.5
687,49.0
688,67.0
689,53.0
690,47.0
691,33.7
692,24.0
693,120.0
694,30.0
695,40.7
696,300.0
697,42.5
698,39.0
699,38.0
700,20.0
701,40.0
702,110.0
703,180.0
704,68.0
705,27.8
706,32.0
707,30.0
708,66.0
709,77.0
710,270.0
711,18.0
712,83.0
713,60.0
714,58.0
715,58.0
716,55.0
717,44.2
718,40.2
719,48.0
720,44.0
721,21.0
722,7420.0
723,68.0
724,48.1
725,54.9
726,57.0
727,320.0
728,110.0
729,43.0
730,65.0
731,51.0
732,100.0
733,600.0
734,160.0
735,97.0
736,87.0
737,87.5
738,55.0
739,14.0
740,52.0
741,30.9
742,22.5
743,72.0
744,180.0
745,75.0
746,68.0
747,110.0
748,77.9
749,310.0
750,60.0
751,190.0
752,180.0
753,91.0
754,41.2
755,38.0
756,260.0
757,120.0
758,470.0
759,31.7
760,30.6
761,38.2
762,85.0
763,25.0
764,11.0
765,15.0
766,22.0
767,99.0
768,64.5
769,110.0
770,32.0
771,100.0
772,60.0
773,93.0
774,40.0
775,140.0
776,45.0
777,390.0
778,57.0
779,40.0
780,25.0
781,40.0
782,70.0
783,44.0
784,120.0
785,420.0
786,88.0
787,130.0
788,35.0
789,72.0
790,120.0
791,320.0
792,91.5
793,13.0
794,52.0
795,270.0
796,60.0
797,75.0
798,170.0
799,65.0
800,32.0
801,31.0
802,70.0
803,70.0
804,45.0
805,120.0
806,74.5
807,95.0
808,100.0
809,60.0
810,24.7
811,320.0
812,47.0
813,110.0
814,53.0
815,53.0
816,45.0
817,25.0
818,65.0
819,48.3
820,160.0
821,63.9
822,120.0
823,72.0
824,140.0
825,21.0
826,120.0
827,110.0
828,23.4
829,17.0
830,28.1
831,85.0
832,120.0
833,38.0
834,100.0
835,76.0
836,200.0
837,81.9
838,21.0
839,46.1
840,120.0
841,86.0
842,48.0
843,26.0
844,81.3
845,150.0
846,65.0
847,100.0
848,21.9
849,140.0
850,84.0
851,140.0
852,24.5
853,25.0
854,170.0
855,100.0
856,85.0
857,37.5
858,130.0
859,58.0
860,110.0
861,140.0
862,60.0
863,320.0
864,220.0
865,60.0
866,44.0
867,36.0
868,65.0
869,58.5
870,45.0
871,14.7
872,37.0
873,550.0
874,45.0
875,150.0
876,120.0
877,160.0
878,80.2
879,180.0
880,150.0
881,72.0
882,40.0
883,21.8
884,80.0
885,60.0
886,27.0
887,22.0
888,69.3
889,58.0
890,100.0
891,37.0
892,87.3
893,170.0
894,85.0
895,62.0
896,35.0
897,87.0
898,24.7
899,48.0
900,49.8
901,47.3
902,23.9
903,64.8
904,130.0
905,130.0
906,16.2
907,180.0
908,31.2
909,110.0
910,110.0
911,47.9
912,30.5
913,30.0
914,41.5
915,65.2
916,86.0
917,22.0
918,32.0
919,75.0
920,43.0
921,90.0
922,550.0
923,35.0
924,29.0
925,35.0
926,38.0
927,34.0
928,95.0
929,11.5
930,45.0
931,12.0
932,220.0
933,43.0
934,26.5
935,140.0
936,79.0
937,22.1
938,49.0
939,99.0
940,100.0
941,67.5
942,190.0
943,130.0
944,99.0
945,66.4
946,43.0
947,35.0
948,160.0
949,72.5
950,230.0
951,60.0
952,110.0
953,75.0
954,57.0
955,23.5
956,110.0
957,17.3
958,15.4
959,25.0
960,85.0
961,55.1
962,130.0
963,110.0
964,47.2
965,52.0
966,34.9
967,370.0
968,60.0
969,100.0
970,56.0
971,32.0
972,45.0
973,28.0
974,170.0
975,90.0
976,35.0
977,14.9
978,55.0
979,45.0
980,100.0
981,100.0
982,81.0
983,61.0
984,22.0
985,85.0
986,72.0
987,35.0
988,24.9
989,75.0
990,95.9
991,36.0
992,40.0
993,65.0
994,90.0
995,120.0
996,91.0
997,68.0
998,58.0
999,85.0
1000,110.0
1001,19.5
1002,160.0
1003,80.0
1004,26.0
1005,24.0
1006,24.0
1007,30.0
1008,140.0
1009,49.0
1010,25.0
1011,130.0
1012,30.5
1013,62.0
1014,39.0
1015,54.0
1016,60.0
1017,20.0
1018,73.0
1019,87.0
1020,75.2
1021,45.0
1022,250.0
1023,90.0
1024,81.0
1025,430.0
1026,28.0
1027,79.0
1028,21.0
1029,34.0
1030,52.1
1031,22.0
1032,57.0
1033,20.0
1034,9.0
1035,40.0
1036,20.0
1037,20.6
1038,120.0
1039,24.5
1040,51.9
1041,9150.0
1042,55.0
1043,48.5
1044,57.4
1045,60.0
1046,140.0
1047,27.0
1048,33.0
1049,79.0
1050,56.0
1051,70.0
1052,63.0
1053,280.0
1054,150.0
1055,74.8
1056,26.0
1057,68.0
1058,35.0
1059,62.4
1060,39.0
1061,63.0
1062,75.0
1063,18.0
1064,34.5
1065,81.0
1066,28.0
1067,76.0
1068,35.0
1069,62.0
1070,20.0
1071,47.0
1072,83.0
1073,100.0
1074,48.0
1075,22.9
1076,63.1
1077,32.5
1078,60.0
1079,36.9
1080,95.0
1081,49.0
1082,450.0
1083,36.0
1084,450.0
1085,69.0
1086,43.04
1087,28.0
1088,100.0
1089,38.0
1090,44.0
1091,75.0
1092,90.0
1093,500.0
1094,95.0
1095,18.0
1096,85.0
1097,54.0
1098,35.0
1099,36.5
1100,86.2
1101,54.5
1102,240.0
1103,60.0
1104,38.0
1105,45.0
1106,15.0
1107,25.0
1108,25.5
1109,29.0
1110,21.0
1111,77.9
1112,130.0
1113,55.0
1114,310.0
1115,66.0
1116,22.0
1117,39.0
1118,160.0
1119,16.0
1120,85.0
1121,6.5
1122,45.0
1123,150.0
1124,32.0
1125,33.0
1126,47.3
1127,66.0
1128,35.5
1129,19.0
1130,99.0
1131,120.0
1132,31.0
1133,95.0
1134,150.0
1135,30.0
1136,500.0
1137,100.0
1138,45.0
1139,250.0
1140,76.0
1141,100.0
1142,90.0
1143,290.0
1144,850.0
1145,33.0
1146,62.0
1147,270.0
1148,200.0
1149,30.0
1150,40.0
1151,130.0
1152,93.0
1153,73.0
1154,22.0
1155,120.0
1156,82.0
1157,62.5
1158,25.0
1159,70.0
1160,17.5
1161,41.8
1162,37.0
1163,32.0
1164,55.0
1165,150.0
1166,92.5
1167,70.0
1168,49.0
1169,47.7
1170,110.0
1171,85.0
1172,80.0
1173,65.5
1174,45.0
1175,76.0
1176,140.0
1177,150.0
1178,35.9
1179,65.0
1180,170.0
1181,180.0
1182,35.0
1183,130.0
1184,34.0
1185,44.6
1186,40.0
1187,62.0
1188,1050.0
1189,18.0
1190,110.0
1191,170.0
1192,230.0
1193,81.0
1194,40.0
1195,52.2
1196,68.5
1197,33.0
1198,55.0
1199,12.0
1200,37.0
1201,43.0
1202,25.0
1203,43.5
1204,180.0
1205,31.0
1206,53.0
1207,19.0
1208,280.0
1209,44.0
1210,37.0
1211,69.0
1212,83.9
1213,17.0
1214,25.0
1215,62.0
1216,27.0
1217,300.0
1218,97.6
1219,95.0
1220,45.0
1221,45.0
1222,68.0
1223,95.0
1224,32.9
1225,5160.0
1226,63.9
1227,57.0
1228,100.0
1229,230.0
1230,64.0
1231,120.0
1232,56.0
1233,78.0
1234,86.0
1235,45.0
1236,78.0
1237,32.0
1238,650.0
1239,54.0
1240,56.9
1241,76.1
1242,75.0
1243,66.0
1244,58.0
1245,54.0
1246,120.0
1247,100.0
1248,160.0
1249,22.0
1250,140.0
1251,310.0
1252,48.0
1253,42.0
1254,180.0
1255,45.0
1256,170.0
1257,48.0
1258,66.0
1259,330.0
1260,44.0
1261,18.0
1262,24.0
1263,23.0
1264,98.0
1265,55.0
1266,95.0
1267,200.0
1268,60.2
1269,91.0
1270,43.0
1271,58.0
1272,160.0
1273,35.2
1274,90.0
1275,100.0
1276,130.0
1277,50.0
1278,130.0
1279,270.0
1280,14.6
1281,42.0
1282,85.0
1283,120.0
1284,46.9
1285,63.0
1286,2400.0
1287,35.0
1288,27.0
1289,1070.0
1290,40.0
1291,200.0
1292,68.0
1293,55.0
1294,23.0
1295,65.0
1296,25.9
1297,53.4
1298,100.0
1299,170.0
1300,2000.0
1301,80.0
1302,50.0
1303,18.9
1304,300.0
1305,58.0
1306,840.0
1307,16.8
1308,45.0
1309,37.0
1310,140.0
1311,11.0
1312,140.0
1313,57.3
1314,180.0
1315,13.5
1316,34.0
1317,130.0
1318,38.5
1319,65.7
1320,76.0
1321,640.0
1322,68.4
1323,140.0
1324,120.0
1325,29.8
1326,21.0
1327,35.4
1328,130.0
1329,65.0
1330,29.0
1331,85.0
1332,12.1
1333,45.0
1334,81.1
1335,360.0
1336,46.5
1337,46.0
1338,40.0
1339,120.0
1340,71.0
1341,130.0
1342,45.0
1343,43.2
1344,32.0
1345,57.0
1346,46.4
1347,59.7
1348,23.0
1349,20.5
1350,940.0
1351,79.0
1352,47.0
1353,35.0
1354,33.9
1355,41.9
1356,59.0
1357,17.9
1358,30.0
1359,110.0
1360,130.0
1361,25.5
1362,45.0
1363,38.0
1364,23.0
1365,61.8
1366,33.8
1367,100.0
1368,210.0
1369,24.5
1370,99.0
1371,61.0
1372,47.1
1373,40.0
1374,45.0
1375,32.0
1376,45.0
1377,54.0
1378,65.0
1379,110.0
1380,48.9
1381,270.0
1382,100.0
1383,130.0
1384,22.0
1385,52.0
1386,26.0
1387,130.0
1388,25.0
1389,94.1
1390,70.0
1391,43.0
1392,26.0
1393,95.0
1394,50.0
1395,130.0
1396,120.0
1397,90.0
1398,26.0
1399,75.0
1400,26.0
1401,35.0
1402,110.0
1403,100.0
1404,70.0
1405,72.0
1406,47.2
1407,100.0
1408,100.0
1409,110.0
1410,18.0
1411,320.0
1412,450.0
1413,81.5
1414,16.0
1415,42.5
1416,35.0
1417,52.0
1418,29.0
1419,160.0
1420,52.0
1421,38.0
1422,250.0
1423,47.0
1424,29.0
1425,84.0
1426,77.9
1427,23.0
1428,32.0
1429,41.0
1430,69.5
1431,52.0
1432,27.0
1433,70.0
1434,42.0
1435,40.0
1436,48.0
1437,27.9
1438,180.0
1439,25.0
1440,55.4
1441,65.0
1442,95.0
1443,130.0
1444,120.0
1445,41.0
1446,90.0
1447,39.0
1448,870.0
1449,74.0
1450,50.0
1451,72.0
1452,54.7
1453,48.0
1454,45.0
1455,130.0
1456,120.0
1457,65.0
1458,18.5
1459,53.0
1460,22.4
1461,130.0
1462,88.0
1463,35.0
1464,110.0
1465,69.5
1466,74.0
1467,63.0
1468,37.2
1469,6700.0
1470,41.0
1471,60.0
1472,28.4
1473,20.0
1474,200.0
1475,68.0
1476,55.9
1477,72.5
1478,81.0
1479,290.0
1480,29.2
1481,52.0
1482,29.2
1483,110.0
1484,110.0
1485,46.0
1486,53.0
1487,63.1
1488,35.0
1489,150.0
1490,25.0
1491,35.5
1492,56.0
1493,29.3
1494,68.5
1495,300.0
1496,39.0
1497,77.0
1498,59.9
1499,74.0
1500,26.7
1501,89.0
1502,85.0
1503,43.0
1504,87.2
1505,19.5
1506,500.0
1507,21.1
1508,74.9
1509,67.0
1510,60.0
1511,44.7
1512,170.0
1513,25.4
1514,34.9
1515,20.0
1516,33.0
1517,62.9
1518,30.0
1519,45.0
1520,120.0
1521,160.0
1522,51.0
1523,75.6
1524,89.1
1525,320.0
1526,28.0
1527,170.0
1528,20.9
1529,170.0
1530,47.1
1531,22.0
1532,38.0
1533,85.0
1534,34.0
1535,150.0
1536,87.0
1537,18.0
1538,23.5
1539,120.0
1540,100.0
1541,46.0
1542,87.5
1543,130.0
1544,19.5
1545,120.0
1546,100.0
1547,38.0
1548,32.5
1549,42.9
1550,66.0
1551,28.0
1552,130.0
1553,29.2
1554,45.7
1555,65.2
1556,56.6
1557,70.0
1558,73.0
1559,80.3
1560,110.0
1561,160.0
1562,60.0
1563,42.0
1564,25.0
1565,54.0
1566,28.0
1567,95.0
1568,76.1
1569,85.0
1570,210.0
1571,21.4
1572,95.0
1573,13.0
1574,270.0
1575,23.8
1576,16.9
1577,130.0
1578,48.4
1579,91.0
1580,57.0
1581,210.0
1582,39.0
1583,220.0
1584,24.8
1585,30.0
1586,72.9
1587,260.0
1588,41.9
1589,52.0
1590,98.0
1591,100.0
1592,160.0
1593,35.0
1594,150.0
1595,21.0
1596,30.0
1597,530.0
1598,110.0
1599,67.5
1600,55.0
1601,260.0
1602,79.4
1603,48.3
1604,46.0
1605,50.0
1606,75.0
1607,72.0
1608,220.0
1609,45.0
1610,16.5
1611,55.0
1612,65.0
1613,80.1
1614,75.0
1615,87.0
1616,33.5
1617,25.9
1618,49.0
1619,350.0
1620,160.0
1621,100.0
1622,150.0
1623,66.0
1624,120.0
1625,35.0
1626,5070.0
1627,88.0
1628,100.0
1629,150.0
1630,87.0
1631,28.0
1632,150.0
1633,15.0
1634,120.0
1635,140.0
1636,35.0
1637,72.0
1638,30.0
1639,15.0
1640,30.0
1641,21.9
1642,120.0
1643,20.0
1644,100.0
1645,26.0
1646,90.1
1647,77.0
1648,47.0
1649,58.5
1650,240.0
1651,65.0
1652,130.0
1653,33.0
1654,74.9
1655,10.4
1656,13.1
1657,120.0
1658,150.0
1659,230.0
1660,76.0
1661,110.0
1662,85.0
1663,65.0
1664,60.0
1665,85.0
1666,320.0
1667,100.0
1668,390.0
1669,88.9
1670,33.0
1671,87.0
1672,110.0
1673,53.0
1674,720.0
1675,220.0
1676,200.0
1677,63.5
1678,23.1
1679,22.0
1680,10.0
1681,140.0
1682,110.0
1683,32.7
1684,14.0
1685,75.0
1686,110.0
1687,58.0
1688,90.0
1689,40.0
1690,42.0
1691,32.8
1692,70.0
1693,150.0
1694,91.0
1695,55.0
1696,65.0
1697,27.9
1698,51.0
1699,160.0
1700,50.0
1701,25.9
1702,100.0
1703,10.5
1704,43.0
1705,28.5
1706,100.0
1707,95.0
1708,100.0
1709,31.1
1710,32.0
1711,22.0
1712,85.0
1713,14.5
1714,50.0
1715,180.0
1716,180.0
1717,57.0
1718,180.0
1719,58.7
1720,47.5
1721,320.0
1722,62.0
1723,170.0
1724,280.0
1725,45.0
1726,54.0
1727,55.0
1728,100.0
1729,130.0
1730,210.0
1731,15.0
1732,170.0
1733,190.0
1734,23.5
1735,16.7
1736,17.7
1737,58.0
1738,60.0
1739,69.0
1740,800.0
1741,42.0
1742,56.0
1743,53.0
1744,82.0
1745,45.0
1746,22.0
1747,89.0
1748,42.0
1749,110.0
1750,91.0
1751,15.0
1752,85.0
1753,65.0
1754,88.0
1755,48.0
1756,46.8
1757,12.9
1758,140.0
1759,260.0
1760,53.0
1761,21.0
1762,210.0
1763,93.0
1764,19.3
1765,130.0
1766,17.1
1767,60.0
1768,90.0
1769,88.0
1770,34.1
1771,52.5
1772,11.9
1773,50.0
1774,21.5
1775,250.0
1776,45.0
1777,66.1
1778,340.0
1779,60.0
1780,37.5
1781,57.0
1782,71.9
1783,120.0
1784,21.4
1785,100.0
1786,42.0
1787,34.4
1788,30.0
1789,27.8
1790,26.4
1791,30.0
1792,140.0
1793,48.9
1794,140.0
1795,36.1
1796,41.0
1797,190.0
1798,26.0
1799,120.0
1800,28.8
1801,52.0
1802,40.0
1803,69.9
1804,24.5
1805,16.5
1806,46.7
1807,51.0
1808,15.9
1809,160.0
1810,100.0
1811,50.0
1812,81.3
1813,95.0
1814,160.0
1815,83.0
1816,14.2
1817,110.0
1818,170.0
1819,81.9
1820,55.0
1821,27.5
1822,110.0
1823,80.0
1824,190.0
1825,460.0
1826,23.0
1827,51.0
1828,280.0
1829,40.2
1830,45.0
1831,42.0
1832,550.0
1833,45.0
1834,35.0
1835,65.0
1836,16.0
1837,90.0
1838,350.0
1839,100.0
1840,98.0
1841,100.0
1842,58.0
1843,33.0
1844,85.0
1845,38.0
1846,32.0
1847,49.0
1848,150.0
1849,40.0
1850,18.0
1851,110.0
1852,130.0
1853,37.0
1854,37.9
1855,110.0
1856,57.0
1857,500.0
1858,500.0
1859,110.0
1860,87.0
1861,60.0
1862,36.0
1863,38.0
1864,25.0
1865,190.0
1866,110.0
1867,62.0
1868,51.0
1869,140.0
1870,260.0
1871,32.0
1872,50.0
1873,5850.0
1874,28.0
1875,1500.0
1876,55.0
1877,47.0
1878,42.0
1879,82.0
1880,80.0
1881,48.0
1882,110.0
1883,65.0
1884,120.0
1885,16.5
1886,170.0
1887,14.5
1888,85.0
1889,38.5
1890,150.0
1891,70.0
1892,45.0
1893,70.0
1894,100.0
1895,34.0
1896,110.0
1897,28.0
1898,370.0
1899,130.0
1900,95.0
1901,25.0
1902,100.0
1903,20.0
1904,100.0
1905,230.0
1906,36.0
1907,170.0
1908,13.5
1909,26.5
1910,61.5
1911,100.0
1912,120.0
1913,78.0
1914,19.0
1915,25.0
1916,95.0
1917,68.0
1918,15.0
1919,25.0
1920,52.3
1921,170.0
1922,150.0
1923,100.0
1924,77.5
1925,160.0
1926,35.0
1927,40.0
1928,47.5
1929,26.0
1930,32.0
1931,57.0
1932,240.0
1933,46.0
1934,170.0
1935,55.0
1936,30.0
1937,110.0
1938,90.0
1939,26.3
1940,100.0
1941,20.0
1942,180.0
1943,68.0
1944,75.0
1945,65.0
1946,65.2
1947,65.0
1948,56.0
1949,110.0
1950,47.0
1951,43.0
1952,15.7
1953,85.0
1954,120.0
1955,77.2
1956,40.0
1957,510.0
1958,70.0
1959,61.4
1960,50.0
1961,21.9
1962,85.0
1963,40.0
1964,130.0
1965,41.0
1966,54.0
1967,32.0
1968,160.0
1969,180.0
1970,85.0
1971,21.0
1972,60.0
1973,120.0
1974,58.0
1975,90.0
1976,74.8
1977,22.0
1978,38.2
1979,52.0
1980,22.0
1981,32.0
1982,38.0
1983,25.0
1984,52.3
1985,180.0
1986,49.0
1987,26.0
1988,150.0
1989,100.0
1990,57.0
1991,740.0
1992,49.0
1993,220.0
1994,20.0
1995,39.0
1996,7.5
1997,42.0
1998,89.0
1999,1200.0
2000,34.9
2001,91.9
2002,18.5
2003,68.0
2004,40.0
2005,130.0
2006,420.0
2007,55.0
2008,71.0
2009,21.5
2010,75.0
2011,58.0
2012,85.0
2013,1100.0
2014,130.0
2015,80.0
2016,32.0
2017,52.0
2018,150.0
2019,72.2
2020,33.0
2021,65.0
2022,59.0
2023,38.0
2024,53.4
2025,28.5
2026,43.0
2027,210.0
2028,170.0
2029,130.0
2030,92.0
2031,95.0
2032,46.0
2033,65.0
2034,18.0
2035,67.6
2036,35.0
2037,100.0
2038,41.0
2039,140.0
2040,30.0
2041,62.0
2042,80.0
2043,35.0
2044,110.0
2045,270.0
2046,85.0
2047,43.0
2048,130.0
2049,45.0
2050,28.5
2051,19.6
2052,45.0
2053,70.0
2054,85.0
2055,44.0
2056,36.0
2057,32.9
2058,65.0
2059,70.0
2060,33.0
2061,30.5
2062,80.0
2063,76.8
2064,130.0
2065,11.9
2066,80.0
2067,290.0
2068,45.0
2069,88.0
2070,100.0
2071,250.0
2072,60.0
2073,50.0
2074,30.0
2075,46.0
2076,180.0
2077,11.0
2078,60.0
2079,23.0
2080,61.0
2081,130.0
2082,41.6
2083,210.0
2084,75.0
2085,50.0
2086,79.9
2087,25.0
2088,29.4
2089,370.0
2090,23.8
2091,140.0
2092,45.0
2093,110.0
2094,31.3
2095,110.0
2096,12.5
2097,63.2
2098,90.0
2099,600.0
2100,130.0
2101,350.0
2102,130.0
2103,95.0
2104,380.0
2105,43.0
2106,22.0
2107,48.0
2108,290.0
2109,350.0
2110,21.0
2111,70.0
2112,160.0
2113,35.0
2114,38.0
2115,27.3
2116,28.0
2117,21.0
2118,65.0
2119,280.0
2120,31.5
2121,70.0
2122,140.0
2123,27.0
2124,27.0
2125,16.0
2126,36.0
2127,330.0
2128,130.0
2129,275.0
2130,250.0
2131,18.0
2132,62.0
2133,74.0
