,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE
121,2,0,0,3,0,1298.219585,1,1,1534,12.840956,77.659441
122,2,1,1,2,0,1109.165207,0,1,2571,13.278237,74.747328
123,1,1,1,4,0,1304.034182,0,0,2473,18.96,72.82
124,1,0,1,2,0,1041.195111,1,1,5439,28.59632,77.38143000000002
125,1,0,0,3,0,2135.748916,1,1,5074,28.394375,77.35722700000002
126,2,0,1,3,0,1850.180505,1,1,3869,28.579004,77.431173
127,1,0,0,3,0,1665.080875,1,1,2848,23.166495,72.63429000000002
128,2,0,1,2,0,398.2621289,1,1,4343,26.707154,80.98234599999998
129,2,0,0,2,0,1005.025126,1,1,1029,12.80009,77.71181999999997
130,1,0,1,4,0,4900.959771,1,1,2686,18.5438,73.9438
131,1,0,1,2,0,1294.016156,1,1,32,19.128324,72.825408
132,1,0,1,3,0,1536.806516,1,1,5284,28.6423,77.3445
133,2,0,0,2,0,1123.188406,1,1,2349,12.9816,77.6729
134,1,0,0,2,0,800.1939864,1,1,2255,26.955346,75.73479300000002
135,1,0,1,4,0,2655.807365,1,1,3254,19.239813,72.962722
136,1,0,0,3,0,1513.775356,1,1,2141,12.905368,77.580403
137,2,0,0,3,0,1280.0,1,1,4248,9.930471,76.271273
138,2,0,0,1,0,410.0678733,1,1,5210,28.568846,77.324966
139,1,0,0,4,0,3429.355281,1,1,6426,22.312063,72.674296
140,1,0,0,2,0,890.0451868999999,1,1,5249,28.582887,77.339935
141,2,0,0,2,0,977.7082519,1,1,857,22.1764,75.8193
142,1,0,0,2,0,1099.855282,1,1,5970,12.977126,77.577724
143,2,1,0,2,0,1050.241272,0,1,4089,26.29564,73.03943000000002
144,1,0,1,3,0,1400.241838,1,1,4422,26.900926,75.775927
145,1,0,0,3,0,1740.139211,1,1,4957,19.048979,73.078232
146,1,0,1,2,0,1149.131767,1,1,3281,24.69028,78.41889
147,1,0,0,2,0,650.1950585,1,1,6329,11.026678,76.903583
148,2,0,0,2,0,1355.01355,1,1,1805,26.878068,75.77985600000002
149,1,0,0,3,0,1800.0720030000002,1,1,4556,12.96991,77.59796
150,1,0,1,2,0,907.6305221,1,1,6022,21.56128,74.21238000000002
151,1,0,0,3,0,1636.296021,1,1,947,13.141581,77.749756
152,2,0,0,2,0,900.2520706,1,1,6052,22.261354,73.215533
153,2,0,0,2,0,1318.0440230000004,1,1,1445,12.905538,77.694263
154,1,0,1,3,0,1949.586451,1,1,5486,30.684523,76.691728
155,1,0,0,3,0,1643.36522,1,1,2365,9.930471,76.271273
156,1,0,0,3,0,1233.045623,1,1,2486,18.96,72.82
157,1,0,0,1,0,655.0802139,1,1,4979,18.964489,73.019574
158,2,0,0,2,0,1180.173092,1,1,1576,12.96991,77.59796
159,2,0,0,3,0,1200.087279,1,1,4691,28.6711,77.3683
160,1,0,0,4,0,6974.645114,1,1,3771,22.53028,88.33417
161,2,1,1,4,0,2700.075602,0,1,5518,28.535689,77.35967099999998
162,2,0,0,2,0,850.0991782,1,1,150,26.928785,75.828002
163,1,1,1,4,0,2636.296531,0,1,2770,12.8855,77.5638
164,2,0,0,2,0,900.0163639,1,1,4619,12.928575,77.58572099999998
165,1,1,0,4,0,2472.952087,0,1,3520,18.475864,73.89000899999998
166,1,0,0,2,0,904.0656205,1,1,5929,20.098413,79.10786
167,1,1,1,1,0,265.0033933,0,1,300,19.1145,72.8712
168,1,1,1,3,0,1570.306924,0,1,6191,26.16667,75.78333
169,1,0,0,2,0,955.4140127,1,1,2008,19.255098,72.9815265
170,1,0,0,2,0,1000.0,1,1,5383,28.593566,77.362752
171,1,0,0,4,0,2494.747899,1,1,2348,12.995285,77.766797
172,2,0,0,2,0,1150.130348,1,1,6537,13.1101,80.2095
173,1,0,0,2,0,1210.136674,1,1,2452,19.0168,73.09646
174,1,0,0,2,0,1365.001365,1,1,5123,19.126499,72.99956
175,1,1,1,2,0,499.6366279,0,0,2009,19.255098,72.9815265
176,1,0,0,2,0,1050.144395,1,1,3240,22.271214,73.188827
177,2,0,0,1,0,476.02046889999986,1,1,3047,13.020957,80.152774
178,1,0,0,2,0,985.452839,1,1,1911,28.538774,77.366515
179,1,0,0,2,0,1045.296167,1,1,5065,28.368269,77.37273
180,1,1,1,2,0,1301.89498,0,1,4839,12.86,77.786
181,2,0,0,2,0,2000.0,1,1,207,28.2102,76.8606
182,1,1,1,4,0,4465.709729,0,1,5117,28.526624,77.37671800000003
183,1,0,0,2,0,1192.0,1,1,3681,20.286571,85.810906
184,1,1,0,3,0,1846.153846,0,0,3830,22.5922,88.484911
185,1,1,0,1,0,448.5310608,0,1,2487,19.221571,73.042474
186,2,0,0,2,0,750.0604887000002,1,1,1891,28.66667,77.41667
187,1,0,0,2,0,1060.0706710000004,1,1,4610,19.040066,73.115347
188,1,0,1,3,0,1415.09434,1,1,1532,12.8458,77.6727
189,1,0,0,2,0,1160.062565,1,1,5314,18.96,72.82
190,1,0,0,3,0,1690.024732,1,1,1815,19.1615,72.8731
191,2,1,0,3,0,1672.762741,0,1,5179,28.495803,77.42684799999998
192,2,0,0,2,0,1315.265046,1,1,4372,20.606469,72.913465
193,1,0,0,1,0,650.026001,1,1,2416,19.245347,73.124577
194,2,0,0,1,0,540.1755571,1,1,4814,19.585537,72.83686800000002
195,1,0,0,3,0,1830.065359,1,1,5929,20.098413,79.10786
196,1,0,0,3,0,1575.157516,1,1,2279,28.66667,77.41667
197,1,0,0,3,0,1530.0,1,1,1946,12.904179,77.665897
198,2,0,0,2,0,619.6377502,1,1,958,12.758604,77.700377
199,2,0,0,4,0,2200.0,1,1,1204,21.17,72.83
200,1,0,0,3,0,1757.188498,1,1,92,40.67197199,-86.15292909
201,1,0,1,2,0,1087.885617,1,1,3255,19.239813,72.962722
202,2,0,0,2,0,1199.862873,1,1,1443,12.880993,77.557654
203,2,0,0,2,0,1265.035255,1,1,849,13.033421,77.603954
204,1,0,0,2,0,676.0453302,1,1,1664,22.301625,88.242147
205,2,0,0,2,0,800.0,1,1,3403,28.678014,77.38296
206,2,0,0,2,0,750.0750075,1,1,3121,22.486821,88.233267
207,1,0,1,2,0,1500.0,1,0,322,13.086769,80.191135
208,1,0,0,3,0,1814.285714,1,1,2670,20.257483,85.780142
209,1,0,1,3,0,1195.652174,1,1,1727,24.69028,78.41889
210,1,0,0,3,0,1395.032324,1,1,4422,26.900926,75.775927
211,2,0,0,2,0,850.1594049,1,1,4019,19.696531,72.767746
212,1,0,0,2,0,909.4339623,1,1,2613,12.957707,80.18367099999998
213,2,1,0,2,0,910.0937672,0,1,4520,25.248438,83.014116
214,1,0,0,3,0,1850.070303,1,1,124,12.96991,77.59796
215,1,0,1,3,0,2069.857697,1,1,5115,28.546788,77.37849399999998
216,1,0,1,2,0,820.0082001000002,1,1,6102,19.18,72.96333
217,1,0,0,2,0,1241.8075199999996,1,1,4838,23.182972,72.611485
218,1,0,1,3,0,1014.120668,1,0,2685,18.5438,73.9438
219,1,0,0,4,0,2302.158273,1,1,5438,30.697795000000006,76.714722
220,1,0,0,2,0,900.0782677000002,1,1,5016,24.69028,78.41889
221,0,1,0,2,0,898.5074627,0,0,2191,26.154874,91.670312
222,1,0,0,3,0,2235.294118,1,1,970,26.91667,75.86667
223,1,0,0,3,0,1350.0,1,1,5375,28.5679,77.3679
224,1,0,1,2,0,1100.110011,1,1,6644,18.485487,73.80377299999998
225,1,0,1,1,0,612.1199755,1,1,3196,12.8356,80.1682
226,2,0,0,2,0,1100.352113,1,1,4700,20.892133,77.741664
227,1,0,1,5,0,5194.805195,1,1,5152,28.522931,77.357078
228,1,0,0,3,0,1475.2567689999996,1,1,5165,28.506454,77.40956800000002
229,1,0,1,4,0,2780.191138,1,1,5458,28.558047,77.392752
230,0,1,0,1,0,300.0260892,0,0,2332,24.69028,78.41889
231,2,0,0,2,0,1000.0,1,1,6457,17.7,83.25
232,1,0,0,2,0,1532.720245,1,1,1817,19.1615,72.8731
233,1,1,1,2,0,995.8314034,0,0,5551,22.311323,73.121275
234,1,0,0,3,0,1646.706587,1,0,5507,28.406794,76.936447
235,1,0,0,4,0,2350.965575,1,1,5923,30.664299,76.817624
236,2,0,0,3,0,534.061239,1,1,5049,28.34532,77.299035
237,1,1,1,2,0,1100.0,0,1,3141,19.218498,72.992114
238,1,0,0,3,0,1968.888889,1,1,1601,26.16667,91.76667
239,1,0,1,3,0,2196.354052,1,1,5131,28.536585,77.383669
240,1,0,1,4,0,2400.0,1,1,2969,22.281215,70.789479
241,1,0,0,2,0,1650.252861,1,1,1907,18.49667,73.94167
242,1,1,1,2,0,632.0572844999998,0,0,6400,19.402549,72.85441800000002
243,2,0,0,2,0,1034.965035,1,1,1145,26.882832,81.033767
244,1,0,0,2,0,965.0439631,1,1,6780,18.96,72.82
245,0,1,1,2,0,600.5495224,0,0,5947,24.69028,78.41889
246,1,0,0,2,0,984.8484848,1,1,2010,19.255098,72.9815265
247,1,0,0,3,0,1700.060716,1,1,1083,19.05871,72.89969
248,1,0,1,1,0,546.0145603999998,1,0,6102,19.18,72.96333
249,1,0,0,2,0,1195.499297,1,1,2516,22.55,72.9
250,1,1,1,3,0,1677.4685470000004,0,1,6092,18.914541,72.818211
251,1,0,1,3,0,1699.716714,1,1,1236,28.629811,77.434197
252,1,0,0,2,0,1075.027996,1,1,6862,28.602325,77.40199399999999
253,1,1,1,1,0,485.790072,0,0,572,19.222101,72.988231
254,2,0,0,2,0,929.8998569,1,1,4434,12.919423,77.522774
255,1,0,0,3,0,1438.021283,1,1,2011,19.124896,72.89350300000002
256,1,0,0,5,0,5299.954894,1,1,2069,12.91668,77.59196
257,1,0,1,2,0,1020.181859,1,1,6104,13.055985,77.622157
258,2,0,0,2,0,1070.135002,1,1,6351,28.6423,77.3445
259,2,0,0,2,0,2400.384061,1,1,6176,13.603543,79.460402
260,2,0,0,3,0,1767.388826,1,1,2768,17.546483,78.480303
261,0,1,1,1,0,524.0,0,0,6058,18.6182,73.7447
262,1,1,1,2,0,923.7875289,0,1,5414,28.359199,76.836683
263,1,0,0,3,0,1657.275439,1,1,585,12.9223,77.5532
264,1,0,0,2,0,680.0,1,1,3472,19.1759,72.9522
265,2,0,0,2,0,1100.478469,1,1,1825,22.3301,73.1611
266,1,0,1,3,0,1701.6949149999996,1,0,784,21.152442,81.090184
267,2,0,0,1,0,451.0309278,1,1,5584,28.689982,77.339807
268,1,0,0,3,0,2727.856226000001,1,1,4440,22.54111,88.33778000000002
269,2,0,0,2,0,1000.0,1,1,989,18.116670000000006,83.41667
270,1,0,0,3,0,1790.1897600000002,1,1,5475,28.388225,76.946376
271,2,0,0,2,0,1100.352113,1,1,4149,22.598675,88.438512
272,1,0,1,2,0,1232.162459,1,1,5072,28.381971000000004,77.347688
273,1,0,0,1,0,497.988891,1,1,1388,26.137220000000006,91.62778
274,2,0,0,3,0,1726.017442,1,1,2348,12.995285,77.766797
275,1,1,1,3,0,1320.052802,0,1,2686,18.5438,73.9438
276,2,0,0,2,0,990.0990099,1,1,3820,21.250076,81.660749
277,1,0,0,1,0,675.0441375,1,1,5313,24.69028,78.41889
278,2,0,0,2,0,674.0361283,1,1,4334,10.5339,76.2085
279,1,0,0,1,0,775.1114886,1,1,5521,28.543278000000004,77.358896
280,1,0,0,2,0,718.1042049,1,1,4268,19.12,72.91
281,1,1,1,4,0,3200.0,0,1,5186,28.429614,77.481711
282,2,0,1,2,0,945.1795841,1,1,1744,24.586021,80.78740400000002
283,1,0,1,2,0,1089.028042,1,1,2967,20.07911,73.911636
284,1,0,1,2,0,942.1518749,1,1,3508,12.96991,77.59796
285,1,0,0,2,0,1370.0,1,1,3860,19.980678,79.297436
286,2,0,0,2,0,1265.111049,1,1,298,9.90708,78.102316
287,1,0,0,3,0,1394.31121,1,1,1398,24.69028,78.41889
288,1,1,0,2,0,800.0,0,1,1029,12.80009,77.71181999999997
289,1,1,1,3,0,1505.144771,0,1,6708,30.662283,76.822397
290,2,0,0,3,0,1067.270375,1,1,5675,25.232239,71.392013
291,2,0,0,3,0,1400.059577,1,1,2581,12.913771,77.768321
292,1,0,0,1,0,728.9473684,1,1,4293,26.807408,75.83865899999998
293,1,0,1,3,0,1293.103448,1,0,4422,26.900926,75.775927
294,0,1,1,3,0,106469.0027,0,0,6564,24.69028,78.41889
295,1,0,0,3,0,2939.624633,1,1,5415,28.403138,77.070052
296,1,0,1,2,0,1431.068385,1,1,5419,30.661104,76.746082
297,2,0,0,3,0,1350.063532,1,1,479,12.96991,77.59796
298,2,0,0,1,0,750.1630789,1,1,3996,21.189685,72.841062
299,1,0,1,3,0,1170.074459,1,1,1727,24.69028,78.41889
300,2,0,0,2,0,1121.076233,1,1,1430,24.69028,78.41889
301,1,0,0,4,0,1904.761905,1,1,5340,30.714837,76.751896
302,1,0,0,4,0,7054.132801999999,1,1,5475,28.388225,76.946376
303,1,0,0,2,0,950.0285009,1,1,3161,19.1758,72.8643
304,2,0,0,2,0,969.9321048,1,1,3507,12.852041,77.616315
305,1,0,0,1,0,636.0078278,1,1,5018,19.038205,73.06612
306,1,0,0,4,0,4578.507945,1,1,4870,12.929162,77.629041
307,2,0,0,1,0,700.0259269,1,1,6620,18.5823,73.983
308,1,0,0,3,0,1859.637775,1,1,3139,19.218498,72.992114
309,2,0,0,3,0,1700.1866059999998,1,1,2065,31.097061,77.15489699999998
310,1,0,0,3,0,1847.187238,1,0,5484,28.397468,76.945489
311,1,0,1,1,0,509.5541401,1,0,4086,18.966114,73.148278
312,1,0,0,3,0,1427.424391,1,1,4311,22.56972,88.36972
313,2,0,0,2,0,715.0518413,1,1,2169,26.532207,75.520538
314,2,0,0,3,0,1393.214227,1,1,3737,19.062322,72.88075400000002
315,2,0,0,2,0,900.3215434,1,1,5151,30.768683000000006,76.650876
316,1,0,0,2,0,1000.0,1,1,6102,19.18,72.96333
317,2,0,0,2,0,800.0,1,1,1200,26.209302,78.194369
318,1,1,0,1,0,445.0304928000001,0,1,2556,20.084522,72.900306
319,2,0,0,2,0,1125.175809,1,1,589,12.96991,77.59796
320,1,0,0,2,0,1015.113918,1,1,3368,19.283359,72.864964
321,2,0,1,2,0,1200.4175369999996,1,1,2572,23.185756,77.498465
322,1,0,1,1,0,1060.147122,1,1,1362,13.23,77.7
323,2,0,0,3,0,1654.8463359999996,1,1,2365,9.930471,76.271273
324,1,0,0,3,0,1175.121811,1,1,4440,22.54111,88.33778000000002
325,2,0,0,1,0,412.0213282,1,1,2713,20.379289,72.932048
326,1,0,0,3,0,1877.435352,1,1,4748,22.340396,73.19706
327,1,1,0,2,0,1150.121065,0,1,5977,50.817397,4.42145
328,2,0,0,2,0,910.0529101,1,1,6539,22.281878,70.752639
329,0,1,1,2,0,1080.0,0,0,2321,13.010349,77.712151
330,1,0,1,3,0,1902.843071,1,1,876,12.96991,77.59796
331,2,0,0,1,0,850.4606662,1,1,857,22.1764,75.8193
332,1,1,1,2,0,1051.223242,0,1,6100,19.18,72.96333
333,1,0,1,2,0,945.0617925,1,1,1727,24.69028,78.41889
334,2,1,0,2,0,570.0958797999998,0,1,401,23.259859,77.427777
335,1,0,0,2,0,1050.070432,1,1,4961,19.049989,73.077321
336,1,0,1,2,0,1785.060417,1,1,302,19.1145,72.8712
337,2,0,0,2,0,800.0,1,1,1684,22.403867,88.47000600000001
338,2,0,0,2,0,750.0551511,1,1,2631,12.919987,77.489265
339,1,0,0,2,0,1129.908619,1,1,5195,28.409274,77.322293
340,0,1,1,4,0,2857.142857,0,0,857,22.1764,75.8193
341,1,0,0,2,0,896.6801117000001,1,1,6708,30.662283,76.822397
342,2,0,0,2,0,900.116144,1,1,6228,16.198332,77.34239000000002
343,2,0,0,3,0,1870.32419,1,1,2878,28.874383,77.113251
344,2,0,0,2,0,1288.102262,1,1,1983,13.0306,77.6485
345,1,1,1,4,0,2461.538462,0,1,6348,26.91868,75.750399
346,1,0,0,2,0,1066.408143,1,1,809,22.288976,73.128222
347,1,0,0,4,0,4299.996417,1,1,305,19.139348,72.820458
348,1,1,1,2,0,816.8491699,0,0,6665,19.0167,72.8167
349,1,0,0,2,0,1261.625556,1,1,2878,28.874383,77.113251
350,2,0,0,2,0,1160.092807,1,1,2742,13.0583,77.5732
351,1,1,1,2,0,828.7063893,0,1,2884,12.91668,77.59196
352,2,0,1,3,0,2015.021066,1,1,2321,13.010349,77.712151
353,1,0,0,3,0,2765.784114,1,1,150,26.928785,75.828002
354,1,0,0,2,0,790.0334245,1,1,4198,12.863492,77.74143000000002
355,0,0,0,3,0,1358.024691,1,0,1523,13.09,80.27
356,2,0,0,1,0,850.1594049,1,1,1941,21.800275,72.60499300000002
357,1,0,0,2,0,1115.075825,1,1,4989,18.973908,73.02510600000002
358,1,0,0,1,0,406.3088686,1,1,1251,20.742166,80.104602
359,1,0,0,2,0,1080.080235,1,1,2561,22.519728,88.38573000000002
360,1,0,1,4,0,3621.234302,1,1,3546,12.96991,77.59796
361,1,1,1,6,0,10050.25126,0,1,5146,28.548382,77.32781899999998
362,1,0,0,3,0,1150.0069,1,1,1082,19.05871,72.89969
363,2,0,1,3,0,2489.4067800000007,1,1,1448,12.980033,77.69932800000002
364,1,1,0,3,0,1894.179894,0,1,3570,25.3945,81.8615
365,1,0,0,4,0,4000.0,1,1,5331,28.644695,77.33895600000002
366,1,0,1,2,0,1269.146608,1,1,856,22.727017,75.93404100000002
367,2,0,1,4,0,3458.3665869999995,1,1,5455,28.560719,77.386208
368,0,0,1,2,0,835.2668213,1,0,3678,29.9055,75.2547
369,2,0,0,2,0,1185.146168,1,1,4440,22.54111,88.33778000000002
370,1,0,0,3,0,1289.872756,1,1,1362,13.23,77.7
371,1,0,0,3,0,2100.0,1,1,3030,11.931023,79.828222
372,1,0,0,4,0,3167.898627,1,1,3996,21.189685,72.841062
373,2,0,0,4,0,433333.3333,1,1,3463,9.893479,76.408774
374,0,0,0,2,0,845.007783,1,1,2880,12.9974,80.0966
375,1,0,0,1,0,850.0,1,1,6698,21.0,77.0
376,1,1,1,2,0,923.0100988,0,1,1727,24.69028,78.41889
377,2,0,0,3,0,1490.312966,1,1,4502,16.531879,80.670951
378,2,0,0,3,0,1480.019734,1,1,4398,26.222384,85.86210799999998
379,2,0,0,3,0,1510.159253,1,1,682,12.8706,77.6279
380,1,1,1,1,0,453.01667930000013,0,1,2763,24.69028,78.41889
381,1,0,0,2,0,999.6079969,1,0,1258,22.12947,73.41756
382,2,0,0,2,0,1000.0,1,1,3639,21.105779,79.078497
383,2,0,0,3,0,1350.135014,1,1,1534,12.840956,77.659441
384,1,0,0,3,0,1231.578947,1,1,2853,12.88784,77.654131
385,1,1,1,2,0,829.8850575,0,0,3215,13.034709,80.105584
386,1,0,0,2,0,1069.7827519999996,1,1,1236,28.629811,77.434197
387,1,0,0,1,0,610.0273241,1,1,762,19.147866,72.932609
388,1,0,0,4,0,2030.205496,1,1,5509,30.698017,76.679016
389,1,0,0,2,0,978.7377658,1,1,5065,28.368269,77.37273
