,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,45,admin.,married,secondary,no,-183,yes,no,unknown,16,may,215,3,-1,0,unknown,no
36,32,self-employed,married,secondary,no,1942,yes,no,unknown,30,may,84,9,-1,0,unknown,no
37,47,management,married,primary,no,52,yes,yes,unknown,15,may,140,1,-1,0,unknown,no
38,59,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no
39,39,entrepreneur,married,secondary,no,1261,yes,no,unknown,9,may,129,2,-1,0,unknown,no
40,29,blue-collar,married,secondary,no,9,yes,no,unknown,6,may,349,1,-1,0,unknown,no
41,40,admin.,single,unknown,no,419,yes,no,unknown,6,may,112,3,-1,0,unknown,no
42,26,blue-collar,married,secondary,no,284,yes,no,unknown,27,may,301,1,-1,0,unknown,no
43,38,technician,single,secondary,no,372,no,no,unknown,23,may,59,3,-1,0,unknown,no
44,42,blue-collar,divorced,primary,no,28,yes,no,unknown,5,may,126,3,-1,0,unknown,no
45,42,unemployed,married,secondary,no,8131,yes,no,unknown,30,may,69,1,-1,0,unknown,no
46,32,admin.,single,secondary,no,-15,no,no,unknown,27,may,214,2,-1,0,unknown,no
47,56,blue-collar,single,primary,no,739,yes,no,unknown,15,may,95,1,-1,0,unknown,no
48,33,blue-collar,married,primary,no,2615,yes,no,unknown,27,may,143,8,-1,0,unknown,no
49,35,blue-collar,married,primary,no,442,yes,no,unknown,26,may,129,3,-1,0,unknown,no
50,39,admin.,single,secondary,no,762,yes,no,unknown,8,may,288,1,-1,0,unknown,no
51,55,unemployed,married,secondary,yes,1108,yes,yes,unknown,2,jun,75,4,-1,0,unknown,no
52,47,blue-collar,married,primary,no,242,yes,no,unknown,16,may,214,4,-1,0,unknown,no
53,55,admin.,married,secondary,no,9039,yes,no,unknown,15,may,187,6,-1,0,unknown,no
54,44,technician,married,tertiary,no,0,yes,yes,unknown,13,may,127,2,-1,0,unknown,no
55,40,blue-collar,married,primary,no,570,yes,no,unknown,12,may,109,3,-1,0,unknown,no
56,55,management,married,secondary,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown,no
57,39,blue-collar,married,secondary,yes,-931,yes,no,unknown,28,may,92,5,-1,0,unknown,no
58,47,management,single,tertiary,no,191,yes,no,unknown,26,may,212,1,-1,0,unknown,no
59,38,management,divorced,tertiary,no,904,yes,no,unknown,8,may,475,1,-1,0,unknown,no
60,43,admin.,married,primary,no,15,yes,no,unknown,13,may,304,2,-1,0,unknown,no
61,33,admin.,married,secondary,no,21,no,no,unknown,6,may,189,3,-1,0,unknown,no
62,29,services,single,secondary,no,2099,yes,yes,unknown,19,may,171,2,-1,0,unknown,no
63,40,admin.,married,secondary,no,2100,yes,yes,unknown,7,may,164,2,-1,0,unknown,no
64,46,management,married,tertiary,no,625,yes,no,unknown,6,jun,127,1,-1,0,unknown,no
65,31,blue-collar,single,tertiary,no,2197,yes,no,unknown,23,may,146,3,-1,0,unknown,no
66,43,self-employed,single,secondary,no,798,yes,no,unknown,12,may,217,1,-1,0,unknown,no
67,39,blue-collar,married,primary,no,2133,yes,yes,unknown,16,may,179,1,-1,0,unknown,no
68,47,services,married,primary,no,1496,yes,no,unknown,16,may,211,2,-1,0,unknown,no
69,37,blue-collar,married,secondary,no,934,no,no,unknown,9,may,258,2,-1,0,unknown,no
70,39,technician,single,tertiary,no,2617,yes,no,unknown,2,jun,164,2,-1,0,unknown,no
71,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
72,33,blue-collar,single,secondary,no,76,yes,no,unknown,4,jun,1141,4,-1,0,unknown,yes
73,44,services,divorced,secondary,no,210,no,yes,unknown,12,may,111,2,-1,0,unknown,no
74,32,services,married,secondary,no,144,yes,no,unknown,19,may,260,11,-1,0,unknown,no
75,38,management,married,unknown,no,1759,yes,no,unknown,6,may,440,1,-1,0,unknown,no
76,35,blue-collar,married,secondary,no,344,no,no,unknown,5,jun,25,1,-1,0,unknown,no
77,41,blue-collar,single,primary,no,22,yes,no,unknown,14,may,152,1,-1,0,unknown,no
78,43,self-employed,married,secondary,no,918,yes,no,unknown,6,may,193,1,-1,0,unknown,no
79,36,blue-collar,divorced,secondary,no,-140,yes,no,unknown,26,may,222,2,-1,0,unknown,no
80,45,management,married,tertiary,no,0,yes,yes,unknown,13,may,147,1,-1,0,unknown,no
81,26,admin.,single,secondary,no,-12,yes,no,unknown,4,jun,98,1,-1,0,unknown,no
82,45,entrepreneur,married,secondary,no,68,yes,no,unknown,7,may,254,1,-1,0,unknown,no
83,44,technician,divorced,tertiary,no,9192,yes,no,unknown,6,jun,59,3,-1,0,unknown,no
84,51,blue-collar,divorced,primary,no,83,yes,no,unknown,16,may,24,4,-1,0,unknown,no
85,34,blue-collar,divorced,secondary,no,1780,yes,no,unknown,2,jun,187,9,-1,0,unknown,no
86,55,unknown,married,secondary,yes,-208,yes,no,unknown,3,jun,148,2,-1,0,unknown,no
87,36,blue-collar,divorced,secondary,no,221,yes,no,unknown,20,may,189,1,-1,0,unknown,no
88,36,admin.,single,secondary,no,0,yes,yes,unknown,28,may,117,6,-1,0,unknown,no
89,31,services,married,secondary,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
90,49,management,married,secondary,no,0,no,no,unknown,9,jun,156,2,-1,0,unknown,no
91,49,blue-collar,married,secondary,no,64,yes,no,unknown,7,may,293,3,-1,0,unknown,no
92,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
93,39,blue-collar,married,secondary,no,5853,yes,no,unknown,21,may,210,2,-1,0,unknown,no
94,54,blue-collar,married,secondary,no,887,yes,no,unknown,19,may,133,1,-1,0,unknown,no
95,34,blue-collar,married,primary,no,571,yes,no,unknown,23,may,202,2,-1,0,unknown,no
96,40,admin.,married,secondary,no,1327,yes,yes,unknown,26,may,76,2,-1,0,unknown,no
97,40,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
98,55,blue-collar,married,primary,no,828,yes,no,unknown,30,may,246,1,-1,0,unknown,no
99,42,services,divorced,secondary,no,55,yes,no,unknown,6,may,176,5,-1,0,unknown,no
100,50,management,married,tertiary,no,106,yes,no,unknown,15,may,388,2,-1,0,unknown,no
101,53,services,married,secondary,no,2719,yes,no,unknown,30,may,80,2,-1,0,unknown,no
102,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
103,32,technician,single,secondary,no,471,yes,no,unknown,3,jun,379,2,-1,0,unknown,no
104,40,services,divorced,secondary,no,0,no,no,unknown,21,may,111,4,-1,0,unknown,no
105,45,admin.,married,secondary,no,5244,yes,no,unknown,29,may,18,16,-1,0,unknown,no
106,31,admin.,married,secondary,no,5,no,no,unknown,16,may,102,1,-1,0,unknown,no
107,25,blue-collar,married,secondary,no,192,yes,no,unknown,28,may,357,3,-1,0,unknown,no
108,43,blue-collar,married,primary,no,-101,yes,no,unknown,14,may,122,4,-1,0,unknown,no
109,33,services,married,secondary,no,0,yes,no,unknown,26,may,192,6,-1,0,unknown,no
110,40,blue-collar,married,unknown,no,486,yes,no,unknown,20,may,97,8,-1,0,unknown,no
111,54,management,divorced,tertiary,no,192,yes,no,unknown,28,may,157,3,-1,0,unknown,no
112,36,services,single,secondary,no,616,yes,yes,unknown,12,may,156,3,-1,0,unknown,no
113,33,self-employed,married,tertiary,no,1545,yes,no,unknown,21,may,357,2,-1,0,unknown,no
114,31,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
115,36,blue-collar,married,secondary,no,139,yes,no,unknown,6,may,309,2,-1,0,unknown,no
116,55,entrepreneur,married,primary,no,-24,yes,no,unknown,8,may,176,1,-1,0,unknown,no
117,32,management,single,tertiary,no,0,no,no,unknown,16,may,91,1,-1,0,unknown,no
118,28,services,single,primary,no,302,no,no,unknown,3,jun,248,9,-1,0,unknown,no
119,45,management,married,tertiary,no,2316,yes,no,unknown,26,may,97,3,-1,0,unknown,no
120,36,blue-collar,married,secondary,no,362,yes,no,unknown,20,may,274,2,-1,0,unknown,no
121,51,self-employed,divorced,secondary,no,1291,yes,no,unknown,3,jun,51,2,-1,0,unknown,no
122,36,management,married,tertiary,no,-1312,yes,yes,unknown,29,may,229,4,-1,0,unknown,no
123,40,technician,married,primary,no,819,yes,no,unknown,13,may,50,3,-1,0,unknown,no
124,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,yes
125,32,admin.,single,secondary,no,5,yes,no,unknown,12,may,593,2,-1,0,unknown,no
126,45,management,married,tertiary,no,2022,no,no,unknown,30,may,340,1,-1,0,unknown,no
127,45,entrepreneur,married,primary,no,-100,yes,no,unknown,27,may,240,6,-1,0,unknown,no
128,38,technician,single,secondary,no,0,yes,no,unknown,6,jun,64,1,-1,0,unknown,no
129,51,blue-collar,married,secondary,no,22,yes,no,unknown,16,may,336,2,-1,0,unknown,no
130,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
131,31,blue-collar,married,secondary,no,42,yes,no,unknown,9,may,210,3,-1,0,unknown,no
132,54,management,divorced,secondary,no,-415,yes,no,unknown,26,may,290,2,-1,0,unknown,no
133,44,blue-collar,married,primary,no,194,yes,no,unknown,28,may,105,2,-1,0,unknown,no
134,40,blue-collar,married,primary,no,540,yes,no,unknown,2,jun,21,1,-1,0,unknown,no
135,35,services,married,secondary,no,8412,no,no,unknown,9,jun,479,4,-1,0,unknown,no
136,26,admin.,married,secondary,no,1641,yes,no,unknown,27,may,118,1,-1,0,unknown,no
137,44,services,divorced,secondary,no,240,yes,no,unknown,8,may,155,2,-1,0,unknown,no
138,36,services,married,secondary,no,208,yes,no,unknown,16,may,99,1,-1,0,unknown,no
139,35,management,single,secondary,yes,-202,yes,no,unknown,20,may,268,3,-1,0,unknown,no
140,33,management,married,unknown,no,18347,yes,no,unknown,23,may,415,1,-1,0,unknown,no
141,45,admin.,married,secondary,no,-173,yes,no,unknown,27,may,315,2,-1,0,unknown,no
142,51,admin.,married,secondary,no,3,no,yes,unknown,23,may,259,2,-1,0,unknown,no
143,28,technician,single,secondary,no,1,yes,no,unknown,29,may,364,3,-1,0,unknown,no
144,38,technician,married,tertiary,no,1092,yes,no,unknown,21,may,317,1,-1,0,unknown,no
145,28,services,single,secondary,no,3331,yes,no,unknown,28,may,229,2,-1,0,unknown,no
146,40,unemployed,married,secondary,no,277,yes,no,unknown,26,may,228,2,-1,0,unknown,no
147,37,management,married,secondary,no,3175,yes,no,unknown,20,may,168,1,-1,0,unknown,no
148,47,admin.,married,secondary,no,257,yes,no,unknown,15,may,484,11,-1,0,unknown,no
149,31,blue-collar,single,unknown,no,667,yes,no,unknown,28,may,80,3,-1,0,unknown,no
150,41,technician,married,secondary,no,493,yes,no,unknown,16,may,130,3,-1,0,unknown,no
151,54,housemaid,divorced,primary,no,215,no,yes,unknown,9,jun,117,2,-1,0,unknown,no
152,60,retired,married,tertiary,no,1224,yes,no,unknown,15,may,120,1,-1,0,unknown,no
153,41,blue-collar,married,secondary,no,213,yes,no,unknown,8,may,10,2,-1,0,unknown,no
154,32,blue-collar,married,secondary,no,-325,yes,yes,unknown,21,may,171,1,-1,0,unknown,no
155,27,technician,married,secondary,no,232,yes,yes,unknown,13,may,1167,1,-1,0,unknown,no
156,59,blue-collar,married,primary,no,14,yes,yes,unknown,20,may,355,1,-1,0,unknown,no
157,24,admin.,married,secondary,no,541,yes,no,unknown,5,jun,622,4,-1,0,unknown,no
158,54,blue-collar,divorced,primary,no,8180,no,no,unknown,19,may,312,1,-1,0,unknown,no
159,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,yes
160,39,blue-collar,married,unknown,no,638,yes,yes,unknown,28,may,83,2,-1,0,unknown,no
161,53,technician,divorced,secondary,no,392,yes,no,unknown,28,may,59,1,-1,0,unknown,no
162,37,entrepreneur,single,tertiary,no,-274,yes,yes,unknown,27,may,237,2,-1,0,unknown,no
163,57,retired,divorced,tertiary,no,2516,yes,no,unknown,15,may,1036,1,-1,0,unknown,no
164,35,blue-collar,married,primary,no,3279,no,no,unknown,5,jun,240,2,-1,0,unknown,no
165,32,admin.,married,secondary,no,514,yes,no,unknown,8,may,459,1,-1,0,unknown,no
166,56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes
167,40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,-1,0,unknown,no
168,54,retired,married,primary,no,0,yes,no,unknown,13,may,106,1,-1,0,unknown,no
169,53,technician,married,primary,no,44,no,no,unknown,6,jun,256,1,-1,0,unknown,no
170,31,blue-collar,married,secondary,no,27,yes,yes,unknown,26,may,109,5,-1,0,unknown,no
171,36,technician,married,secondary,no,368,yes,yes,unknown,6,may,1597,2,-1,0,unknown,yes
172,50,self-employed,married,secondary,no,6174,yes,yes,unknown,29,may,456,1,-1,0,unknown,no
173,47,blue-collar,married,primary,no,0,yes,no,unknown,15,may,30,1,-1,0,unknown,no
174,51,blue-collar,married,unknown,no,125,yes,no,unknown,8,may,102,2,-1,0,unknown,no
175,41,services,married,secondary,no,714,yes,yes,unknown,15,may,504,5,-1,0,unknown,no
176,26,blue-collar,single,secondary,no,2,yes,no,unknown,30,may,170,4,-1,0,unknown,no
177,22,blue-collar,single,secondary,no,0,yes,no,unknown,19,may,123,1,-1,0,unknown,no
178,31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,134,1,-1,0,unknown,no
179,25,blue-collar,single,secondary,no,1429,yes,no,unknown,29,may,187,3,-1,0,unknown,no
180,48,services,married,secondary,no,533,no,no,unknown,9,jun,63,1,-1,0,unknown,no
181,31,blue-collar,divorced,secondary,no,-452,yes,no,unknown,26,may,182,5,-1,0,unknown,no
182,57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
183,32,admin.,single,secondary,no,146,no,no,unknown,27,may,111,10,-1,0,unknown,no
184,39,blue-collar,married,primary,no,2715,yes,no,unknown,2,jun,201,3,-1,0,unknown,no
185,50,management,divorced,tertiary,no,5164,yes,no,unknown,2,jun,146,4,-1,0,unknown,no
186,49,blue-collar,married,secondary,no,1854,yes,no,unknown,19,may,173,5,-1,0,unknown,no
187,34,blue-collar,single,primary,no,85,no,no,unknown,16,may,136,1,-1,0,unknown,no
188,28,blue-collar,married,secondary,no,131,yes,no,unknown,12,may,147,5,-1,0,unknown,no
189,52,technician,married,secondary,no,963,yes,no,unknown,29,may,74,2,-1,0,unknown,no
190,44,blue-collar,married,secondary,no,3610,yes,no,unknown,29,may,23,15,-1,0,unknown,no
191,49,entrepreneur,married,primary,no,-63,yes,no,unknown,14,may,416,2,-1,0,unknown,no
192,40,services,married,secondary,no,-80,yes,no,unknown,2,jun,147,1,-1,0,unknown,no
193,41,blue-collar,married,secondary,no,108,yes,yes,unknown,7,may,203,1,-1,0,unknown,no
194,44,management,married,tertiary,no,1732,yes,no,unknown,30,may,43,1,-1,0,unknown,no
195,31,blue-collar,single,tertiary,no,462,yes,yes,unknown,19,may,147,1,-1,0,unknown,no
196,40,technician,married,secondary,no,-396,yes,no,unknown,26,may,127,1,-1,0,unknown,no
197,40,services,married,secondary,no,-212,yes,yes,unknown,23,may,54,1,-1,0,unknown,no
198,32,admin.,single,secondary,no,91,yes,no,unknown,14,may,302,2,-1,0,unknown,no
199,41,services,married,primary,no,124,yes,no,unknown,16,may,393,2,-1,0,unknown,no
200,42,management,married,tertiary,no,365,yes,no,unknown,19,may,49,2,-1,0,unknown,no
201,55,management,married,tertiary,no,1288,yes,no,unknown,8,may,67,2,-1,0,unknown,no
202,50,admin.,single,secondary,no,424,yes,no,unknown,12,may,72,2,-1,0,unknown,no
203,37,services,married,secondary,no,1325,no,no,unknown,3,jun,72,3,-1,0,unknown,no
204,50,admin.,married,primary,no,429,no,no,unknown,29,may,60,2,-1,0,unknown,no
205,56,management,divorced,tertiary,no,41,no,no,unknown,5,jun,179,1,-1,0,unknown,no
206,38,blue-collar,married,primary,no,-537,yes,no,unknown,2,jun,171,1,-1,0,unknown,no
207,38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown,no
208,42,management,married,unknown,no,342,yes,no,unknown,2,jun,156,5,-1,0,unknown,no
209,36,blue-collar,married,secondary,no,-251,yes,no,unknown,7,may,162,1,-1,0,unknown,no
210,36,technician,divorced,secondary,no,409,yes,no,unknown,20,may,25,1,-1,0,unknown,no
211,40,technician,married,tertiary,no,296,no,no,unknown,19,may,198,1,-1,0,unknown,no
212,45,admin.,divorced,secondary,no,1126,yes,no,unknown,27,may,172,1,-1,0,unknown,no
213,58,entrepreneur,married,tertiary,no,7198,yes,no,unknown,21,may,44,5,-1,0,unknown,no
214,33,services,married,secondary,no,7,yes,no,unknown,20,may,217,1,-1,0,unknown,no
215,32,unemployed,married,secondary,no,-160,yes,no,unknown,28,may,27,1,-1,0,unknown,no
216,59,management,divorced,tertiary,no,-76,yes,yes,unknown,6,may,264,1,-1,0,unknown,no
217,39,blue-collar,married,secondary,no,0,yes,yes,unknown,20,may,40,1,-1,0,unknown,no
218,31,services,single,secondary,no,-341,no,no,unknown,4,jun,171,3,-1,0,unknown,no
219,27,technician,single,secondary,no,648,yes,no,unknown,28,may,198,3,-1,0,unknown,no
220,57,retired,married,tertiary,no,1180,yes,yes,unknown,14,may,191,2,-1,0,unknown,no
221,46,admin.,single,secondary,no,1790,yes,no,unknown,5,jun,214,5,-1,0,unknown,no
222,44,management,married,tertiary,no,223,yes,no,unknown,9,may,93,2,-1,0,unknown,no
223,37,entrepreneur,divorced,secondary,no,175,yes,yes,unknown,13,may,753,6,-1,0,unknown,yes
224,32,management,married,tertiary,no,124,no,no,unknown,27,may,193,1,-1,0,unknown,no
225,43,technician,married,secondary,no,-235,yes,yes,unknown,29,may,260,2,-1,0,unknown,no
226,40,blue-collar,married,primary,no,743,no,no,unknown,5,jun,18,2,-1,0,unknown,no
227,28,admin.,married,secondary,no,-156,yes,no,unknown,6,jun,161,5,-1,0,unknown,no
228,42,admin.,single,primary,no,629,yes,no,unknown,29,may,164,3,-1,0,unknown,no
229,35,unknown,divorced,primary,no,3888,no,no,unknown,26,may,422,5,-1,0,unknown,no
230,51,technician,married,unknown,no,205,yes,yes,unknown,13,may,665,1,-1,0,unknown,no
231,49,technician,divorced,secondary,no,181,yes,no,unknown,28,may,230,8,-1,0,unknown,no
232,54,management,married,tertiary,no,11,no,no,unknown,14,may,452,2,-1,0,unknown,no
233,38,blue-collar,married,secondary,no,926,no,yes,unknown,6,jun,189,3,-1,0,unknown,no
234,31,blue-collar,married,secondary,no,191,yes,no,unknown,2,jun,40,1,-1,0,unknown,no
235,59,management,married,primary,no,396,yes,no,unknown,2,jun,72,3,-1,0,unknown,no
236,25,blue-collar,single,secondary,no,352,yes,no,unknown,30,may,156,5,-1,0,unknown,no
237,34,management,single,tertiary,no,0,yes,no,unknown,2,jun,83,1,-1,0,unknown,no
238,52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown,no
239,53,blue-collar,divorced,primary,no,255,yes,no,unknown,8,may,206,2,-1,0,unknown,no
240,54,admin.,divorced,secondary,no,-288,yes,no,unknown,27,may,138,2,-1,0,unknown,no
241,29,technician,married,tertiary,no,43,yes,no,unknown,20,may,68,2,-1,0,unknown,no
242,33,blue-collar,married,secondary,no,1138,yes,yes,unknown,23,may,509,1,-1,0,unknown,no
243,31,admin.,married,unknown,yes,-310,yes,no,unknown,28,may,433,3,-1,0,unknown,no
244,48,blue-collar,divorced,primary,no,338,yes,no,unknown,21,may,38,12,-1,0,unknown,no
245,57,retired,married,secondary,no,502,yes,no,unknown,7,may,229,3,-1,0,unknown,no
246,28,blue-collar,divorced,primary,no,410,yes,no,unknown,30,may,867,3,-1,0,unknown,no
247,51,blue-collar,divorced,secondary,no,44,no,no,unknown,21,may,137,2,-1,0,unknown,no
248,47,admin.,divorced,secondary,no,106,yes,no,unknown,15,may,303,1,-1,0,unknown,no
249,55,technician,married,secondary,no,2760,yes,no,unknown,30,may,267,14,-1,0,unknown,no
250,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
251,60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,-1,0,unknown,no
252,31,unemployed,single,secondary,no,8,yes,no,unknown,2,jun,123,1,-1,0,unknown,no
253,27,self-employed,single,tertiary,no,-503,yes,no,unknown,9,may,98,3,-1,0,unknown,no
254,37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,412,1,-1,0,unknown,no
255,51,technician,married,primary,no,223,yes,no,unknown,5,jun,131,3,-1,0,unknown,no
256,28,technician,married,secondary,no,930,yes,yes,unknown,26,may,112,1,-1,0,unknown,no
257,32,blue-collar,married,secondary,no,2366,yes,no,unknown,20,may,127,2,-1,0,unknown,no
258,31,blue-collar,married,secondary,no,0,no,no,unknown,2,jun,147,1,-1,0,unknown,no
259,44,admin.,divorced,secondary,no,161,yes,no,unknown,7,may,89,2,-1,0,unknown,no
260,33,technician,married,secondary,no,0,yes,yes,unknown,9,may,173,2,-1,0,unknown,no
261,50,blue-collar,married,primary,no,42,yes,no,unknown,4,jun,170,3,-1,0,unknown,no
262,33,admin.,married,secondary,no,393,yes,no,unknown,28,may,383,1,-1,0,unknown,no
263,26,blue-collar,divorced,secondary,no,0,yes,no,unknown,19,may,48,3,-1,0,unknown,no
264,24,technician,single,secondary,no,84,yes,no,unknown,27,may,570,1,-1,0,unknown,no
265,53,retired,married,secondary,no,1139,yes,no,unknown,16,may,107,6,-1,0,unknown,no
266,37,admin.,married,secondary,no,637,no,no,unknown,5,jun,1084,1,-1,0,unknown,no
267,39,self-employed,married,secondary,no,235,no,no,unknown,9,jun,217,1,-1,0,unknown,no
268,35,technician,divorced,secondary,no,-199,yes,no,unknown,27,may,137,2,-1,0,unknown,no
269,34,management,married,secondary,no,293,yes,no,unknown,21,may,162,3,-1,0,unknown,no
270,50,blue-collar,single,secondary,no,708,yes,no,unknown,15,may,104,1,-1,0,unknown,no
271,50,technician,single,secondary,no,-463,yes,no,unknown,27,may,269,3,-1,0,unknown,no
272,37,blue-collar,married,primary,no,1021,no,no,unknown,9,jun,173,1,-1,0,unknown,no
273,31,blue-collar,married,secondary,no,360,yes,no,unknown,23,may,395,1,-1,0,unknown,no
274,30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes
275,31,services,single,secondary,no,629,yes,no,unknown,21,may,369,2,-1,0,unknown,no
276,46,management,divorced,tertiary,no,25,no,no,unknown,26,may,103,2,-1,0,unknown,no
277,49,blue-collar,married,primary,no,130,no,no,unknown,30,may,139,2,-1,0,unknown,no
278,54,technician,married,secondary,no,-939,yes,no,unknown,29,may,202,1,-1,0,unknown,no
279,32,technician,married,unknown,no,196,yes,no,unknown,20,may,196,6,-1,0,unknown,no
280,53,retired,married,secondary,no,1300,no,no,unknown,6,jun,420,1,-1,0,unknown,no
281,49,blue-collar,married,primary,no,287,yes,no,unknown,29,may,155,2,-1,0,unknown,no
282,59,services,married,secondary,no,307,yes,yes,unknown,6,may,250,7,-1,0,unknown,no
283,30,blue-collar,married,secondary,no,1780,yes,no,unknown,28,may,116,12,-1,0,unknown,no
284,48,blue-collar,married,secondary,no,1841,yes,no,unknown,30,may,216,3,-1,0,unknown,no
285,44,technician,single,secondary,no,-27,yes,yes,unknown,14,may,100,3,-1,0,unknown,no
286,32,admin.,single,tertiary,no,490,yes,no,unknown,9,may,94,2,-1,0,unknown,no
287,54,entrepreneur,married,secondary,no,2791,no,no,unknown,6,jun,94,1,-1,0,unknown,no
288,37,technician,married,secondary,no,1450,yes,yes,unknown,21,may,112,1,-1,0,unknown,no
289,56,management,divorced,tertiary,no,975,yes,no,unknown,16,may,130,4,-1,0,unknown,no
290,31,services,single,secondary,no,-45,no,no,unknown,7,may,246,2,-1,0,unknown,no
291,31,management,single,tertiary,no,7444,yes,yes,unknown,8,may,20,1,-1,0,unknown,no
292,55,retired,married,secondary,no,188,no,no,unknown,14,may,139,2,-1,0,unknown,no
293,31,services,single,secondary,yes,68,yes,no,unknown,9,may,169,2,-1,0,unknown,no
294,36,services,married,secondary,no,393,yes,yes,unknown,21,may,126,1,-1,0,unknown,no
